created_at	full_text	screen_name	edited_text
Wed May 08 16:32:48 +0000 2019	"RT @verne: ""Yo odio cuando entran a la tienda y ni siquiera saludan. ¡Somos personas, no maniquíes!"". https://t.co/LpxpE56dLA"	el_pais	verne odio entran tienda siquiera saludan ¡Somos personas maniquíes ''
Wed May 08 16:31:00 +0000 2019	"“Es un buen seductor, pero no un gran estratega político”, opina la directora del documental ‘El gran manipulador’ sobre Steve Bannon, el populista exasesor de Trump, que se estrena el 10 de mayo
https://t.co/cSeZ4EjxB6"	el_pais	“ buen seductor gran estratega político ” opina directora documental ‘ gran manipulador ’ Steve Bannon populista exasesor Trump estrena 10 mayo
Wed May 08 16:29:24 +0000 2019	"RT @demamasdepapas: Ocho cosas que debes saber sobre el #sarampión y su #vacuna 
Gracias a @davidmorper @CAV_AEP @CarolinaG1978
https://t.c…"	el_pais	demamasdepapas Ocho cosas debes saber sarampión vacuna Gracias davidmorper CAV_AEP CarolinaG1978 //t.c…
Wed May 08 16:21:02 +0000 2019	"Díaz Ayuso, candidata del PP a la Comunidad de Madrid, anuncia su propuesta estrella para el Metro: contratar 300 nuevos maquinistas y comprar 60 trenes
https://t.co/7ycL7yQeW3"	el_pais	Díaz Ayuso candidata PP Comunidad Madrid anuncia propuesta estrella Metro contratar 300 nuevos maquinistas comprar 60 trenes
Wed May 08 16:11:53 +0000 2019	RT @DaniVerdu: El viernes por la tarde una niña de 4 años terminó gravemente herida en un tiroteo en el centro de Nápoles. Hace dos meses d…	el_pais	DaniVerdu viernes tarde niña 4 años terminó gravemente herida tiroteo centro Nápoles Hace dos meses d…
Wed May 08 16:11:00 +0000 2019	"El consumo de plataformas como Netflix o Filmin no es un problema para el cine: 74 de cada 100 menores de 25 años va al cine todos los meses, cifra similar a los 80 que declaran estar suscritos al 'streaming'
https://t.co/hET5l5O59T"	el_pais	consumo plataformas Netflix Filmin problema cine 74 cada 100 menores 25 años va cine meses cifra similar 80 declaran suscritos 'streaming'
Wed May 08 16:08:41 +0000 2019	RT @FotografiaPais: Fotos: Las mejores fotografías de animales de abril https://t.co/eR0kG9hrDr Lemures haciendo yoga, perros héroes, suric…	el_pais	FotografiaPais Fotos mejores fotografías animales abril Lemures haciendo yoga perros héroes suric…
Wed May 08 16:02:00 +0000 2019	"Meghan Markle y el príncipe Enrique han presentado a su hijo recién nacido y han revelado el nombre que le han puesto: Archie Harrison Mountbatten-Windsor. ""Tengo a los dos mejores chicos del mundo, así que estoy muy feliz"", ha dicho la duquesa de Sussex https://t.co/PXpW8KhQKm https://t.co/HpzzP1Qqzu"	el_pais	Meghan Markle príncipe Enrique presentado hijo recién nacido revelado nombre puesto Archie Harrison Mountbatten-Windsor dos mejores chicos mundo feliz '' dicho duquesa Sussex
Wed May 08 15:58:12 +0000 2019	RT @elpais_deportes: #MMOpen ¡Victoria de Nadal! El tenista español se impone al joven Auger-Aliassime por 6-3 y 6-3 y accede a tercera ron…	el_pais	elpais_deportes MMOpen ¡Victoria Nadal tenista español impone joven Auger-Aliassime 6-3 6-3 accede tercera ron…
Wed May 08 15:57:06 +0000 2019	RT @elpais_inter: El ministro de Exteriores español acusa a EE UU de actuar como un cowboy en relación a Venezuela https://t.co/TAfqhBERdQ	el_pais	elpais_inter ministro Exteriores español acusa EE UU actuar cowboy relación Venezuela
Wed May 08 15:51:00 +0000 2019	"Si no pagas el comedor escolar, tus hijos solo comerán un sándwich de mantequilla y mermelada. Es el aviso que ha dado a las familias pobres un distrito de EE UU, para horror de los nutricionistas
https://t.co/INauv49Z3Z"	el_pais	pagas comedor escolar hijos solo comerán sándwich mantequilla mermelada aviso dado familias pobres distrito EE UU horror nutricionistas
Wed May 08 15:41:39 +0000 2019	RT @Planeta_Futuro: Cuando los ecosistemas se alteran por causas exógenas, los efectos sobre el equilibrio natural pueden al principio no s…	el_pais	Planeta_Futuro ecosistemas alteran causas exógenas efectos equilibrio natural pueden principio s…
Wed May 08 15:39:22 +0000 2019	"Dos compañeros de piso en Madrid, físicos de 24 años, escriben cartas mensuales resolviendo dudas científicas a conocidos y desconocidos
https://t.co/4dwiOtxZQa"	el_pais	Dos compañeros piso Madrid físicos 24 años escriben cartas mensuales resolviendo dudas científicas conocidos desconocidos
Wed May 08 15:22:47 +0000 2019	RT @FotografiaPais: Fotos: Primer álbum de fotos del hijo de Meghan Markle y Enrique de Inglaterra https://t.co/v2nUBfHOF4 La presentación…	el_pais	FotografiaPais Fotos Primer álbum fotos hijo Meghan Markle Enrique Inglaterra presentación…
Wed May 08 15:22:12 +0000 2019	"""Habrá un antes y después de Anfield. Las derrotas del Barcelona desde Berlín 2015 son tan sangrantes que demandan una autocrítica inmediata de una directiva cuyo mandato acaba en 2021, el mismo año en que finaliza el contrato de Messi""
https://t.co/tdHVY0voZY"	el_pais	después Anfield derrotas Barcelona Berlín 2015 sangrantes demandan autocrítica inmediata directiva cuyo mandato acaba 2021 mismo año finaliza contrato Messi ''
Wed May 08 15:10:00 +0000 2019	El tribunal considera probado que Tomás Pardo secuestró, violó y apuñaló a una mujer durante un permiso penitenciario en octubre de 2016 y lo condena a 70 años https://t.co/FsfNMpEaeK	el_pais	tribunal considera probado Tomás Pardo secuestró violó apuñaló mujer permiso penitenciario octubre 2016 condena 70 años
Wed May 08 15:00:01 +0000 2019	‘La Anunciación’ de Fra Angelico se expone en el Prado tras una restauración de más de un año que permitió rescatar sus colores originales #PRADO200 https://t.co/Pi2BS5wcoC	el_pais	‘ Anunciación ’ Fra Angelico expone Prado restauración año permitió rescatar colores originales PRADO200
Wed May 08 14:50:00 +0000 2019	Detenidos cuatro empresarios y un abogado por contratar a Villarejo para evitar una extradición https://t.co/0i2E9jAAWG	el_pais	Detenidos cuatro empresarios abogado contratar Villarejo evitar extradición
Wed May 08 14:40:00 +0000 2019	"""Tortilla de patatas de supermercado buena"" puede sonar a imposible, pero hay diferencias entre marcas. Dos expertas catan nueve a ciegas, encuentran algunas en @ElComidista que se salvan y condenan el resto al fuego eterno https://t.co/B3IEkXVfE5"	el_pais	Tortilla patatas supermercado buena '' puede sonar imposible diferencias marcas Dos expertas catan nueve ciegas encuentran ElComidista salvan condenan resto fuego eterno
Wed May 08 14:30:00 +0000 2019	Localizada con vida en París la joven española Natalia Sánchez Uribe, una estudiante de Erasmus de 22 años de la que no se sabía nada desde el 1 de mayo https://t.co/9HT4iQt7Sb	el_pais	Localizada vida París joven española Natalia Sánchez Uribe estudiante Erasmus 22 años sabía 1 mayo
Wed May 08 14:20:00 +0000 2019	¿Qué riesgos hay? ¿Qué cambios afrontaré? Las preguntas que todo emprendedor que quiera embarcarse en una nueva aventura empresarial En @BancoSabadell #Estardondeestés https://t.co/RkOk3IqTB3	el_pais	¿Qué riesgos ¿Qué cambios afrontaré preguntas emprendedor quiera embarcarse nueva aventura empresarial BancoSabadell Estardondeestés
Wed May 08 14:15:31 +0000 2019	"RT @elpais_deportes: DIRECTO | #MMOpen
¡Comienza el partido entre Auger-Aliassime y Nadal! https://t.co/AXRXEtXV59"	el_pais	elpais_deportes DIRECTO MMOpen ¡Comienza partido Auger-Aliassime Nadal
Wed May 08 14:10:50 +0000 2019	Sigue la testificación de los testigos del 1-O en el juicio del 'procés' https://t.co/BOstSd5sOU https://t.co/OCltUCYYGo	el_pais	Sigue testificación testigos 1-O juicio 'procés
Wed May 08 14:10:44 +0000 2019	RT @minisashas: Hoy, en @LaCasaEncendida, @carvalhounwomen hablará sobre el paso atrás en DDHH que ha supuesto la llegada al Gobierno brasi…	el_pais	minisashas Hoy LaCasaEncendida carvalhounwomen hablará paso atrás DDHH supuesto llegada Gobierno brasi…
Wed May 08 14:08:32 +0000 2019	Este método pensado para que los pilotos descansaran en cualquier circunstancia, supuestamente ayuda a relajar el cuerpo y dejar la mente en blanco. En @BuenaVidaEP https://t.co/Vjqgu73ozU	el_pais	método pensado pilotos descansaran cualquier circunstancia supuestamente ayuda relajar cuerpo dejar mente blanco BuenaVidaEP
Wed May 08 14:05:17 +0000 2019	"RT @vbenayas: Julio se come mayo con un ""episodio de #calor generalizado e inusual"". Galicia, Asturias, las dos Castillas, Madrid, Extremad…"	el_pais	vbenayas Julio come mayo episodio calor generalizado inusual '' Galicia Asturias dos Castillas Madrid Extremad…
Wed May 08 13:52:42 +0000 2019	"Llegan los primeros ""calores contundentes"" en España a un mes del comienzo del verano https://t.co/XspRK5nsHB"	el_pais	Llegan primeros calores contundentes '' España mes comienzo verano
Wed May 08 13:47:37 +0000 2019	RT @el_pais_madrid: El Ayuntamiento de Madrid hace un balance positivo de Madrid Central. El Área de Prioridad Residencial (APR) ha reducid…	el_pais	el_pais_madrid Ayuntamiento Madrid hace balance positivo Madrid Central Área Prioridad Residencial APR reducid…
Wed May 08 13:32:29 +0000 2019	“Este es el objeto más llamativo y conmovedor que haya podido salir de una fosa de la Guerra Civil”. El plástico de este sonajero fue desarrollado en 1870 muy usado en objetos cotidianos hasta los años setenta del siglo XX. El juguete podía ser de la época https://t.co/5aSqo0ThQ5	el_pais	“ objeto llamativo conmovedor podido salir fosa Guerra Civil ” plástico sonajero desarrollado 1870 usado objetos cotidianos años setenta siglo XX juguete podía ser época
Wed May 08 13:23:19 +0000 2019	El Ministerio de Exteriores de España ha confirmado que la joven ha sido encontrada en la capital francesa. Estaba ligeramente desorientada, según fuentes conocedoras del caso https://t.co/9HT4iQbx0D	el_pais	Ministerio Exteriores España confirmado joven sido encontrada capital francesa ligeramente desorientada fuentes conocedoras caso
Wed May 08 13:04:59 +0000 2019	ÚLTIMA HORA | Localizada en París con vida Natalia Sánchez, la erasmus española desparecida https://t.co/9HT4iQbx0D	el_pais	ÚLTIMA HORA Localizada París vida Natalia Sánchez erasmus española desparecida
Wed May 08 13:01:00 +0000 2019	#Feliziudad ¿Puede un garaje o un almacén convertirse en un lienzo o en un museo al aire libre? La asociación vecinal ZOES de Salamanca está convencida de que es posible. Patrocinado por @Groupe_Renault https://t.co/z7yinEklBG	el_pais	Feliziudad ¿Puede garaje almacén convertirse lienzo museo aire libre asociación vecinal ZOES Salamanca convencida posible Patrocinado Groupe_Renault
Wed May 08 12:51:00 +0000 2019	"""Es mágico, es algo increíble. Tengo a los dos mejores chicos del mundo, así que estoy muy feliz"", ha dicho Meghan Markle en su primera aparición con el bebé https://t.co/AbnRX5nlBD"	el_pais	mágico increíble dos mejores chicos mundo feliz '' dicho Meghan Markle primera aparición bebé
Wed May 08 12:41:00 +0000 2019	En 2011, un equipo de arqueólogos se topó con un sonajero en una fosa de la Guerra Civil. Estaba junto a un cadáver rociado con cal viva y sin ataúd. Su dueño, entonces un bebé de 9 meses, es hoy un hombre de 83 años que no recuerda nada de su madre https://t.co/9xLKTsHOhY	el_pais	2011 equipo arqueólogos topó sonajero fosa Guerra Civil junto cadáver rociado cal viva ataúd dueño entonces bebé 9 meses hoy hombre 83 años recuerda madre
Wed May 08 12:31:00 +0000 2019	#EsLaLiga Por qué toda Europa quiere saber dónde está Getafe (y qué pasa allí). Patrocinado por @LaLiga https://t.co/WEWNH7euvq	el_pais	EsLaLiga toda Europa quiere saber dónde Getafe pasa allí Patrocinado LaLiga
Wed May 08 12:30:16 +0000 2019	"RT @elpais_opinion: ""No sabe uno dónde ponerse"", dice Rivera en la viñeta de #Peridis https://t.co/GkXWcPuArz https://t.co/WdwxfexzeV"	el_pais	elpais_opinion sabe dónde ponerse '' dice Rivera viñeta Peridis
Wed May 08 12:21:00 +0000 2019	¿Qué ha pasado para que la frase 'she can’t see us!' [no puede vernos] haya acabado siendo “sicansíos” en la versión doblada al español del último capítulo de #JuegoDeTronos? https://t.co/RW7wFFD7K3	el_pais	¿Qué pasado frase 'she ’ see us puede vernos acabado siendo “ sicansíos ” versión doblada español último capítulo JuegoDeTronos
Wed May 08 12:13:41 +0000 2019	RT @elpais_gente: FOTOS | El hijo de Carlos de Inglaterra y Diana de Gales fue el encargado de llevar en brazos a su pequeño durante la pre…	el_pais	elpais_gente FOTOS hijo Carlos Inglaterra Diana Gales encargado llevar brazos pequeño pre…
Wed May 08 12:11:00 +0000 2019	"Almodóvar ha recordado cómo en el colegio, con 10 años, un cura acosó de ""al menos 20 niños"". También lo intentó con él: ""Siempre me daba la mano en el patio para besarla, pero yo nunca lo hacía, siempre huía y cuando estaba solo, no caminaba, corría"" https://t.co/AW3RJEGZFq"	el_pais	Almodóvar recordado cómo colegio 10 años cura acosó menos 20 niños '' intentó Siempre daba mano patio besarla nunca hacía siempre huía solo caminaba corría ''
Wed May 08 12:03:55 +0000 2019	RT @materia_ciencia: La madre que llevó un sonajero a su fusilamiento. Una historia de @Nunodomin https://t.co/xjbJNzTryZ	el_pais	materia_ciencia madre llevó sonajero fusilamiento historia Nunodomin
Wed May 08 12:03:47 +0000 2019	RT @elpais_gente: Aniston insiste en que vive una de sus mejores etapas y, aunque no cierra la puerta al amor, no está entre sus prioridade…	el_pais	elpais_gente Aniston insiste vive mejores etapas aunque cierra puerta amor prioridade…
Wed May 08 12:01:01 +0000 2019	La ciudad de Bruselas ha reducido un 40% el desempleo entre los jóvenes desde 2014 de la mano de un programa de formación y prácticas de la Unión Europea https://t.co/CuXwhxO8Yf	el_pais	ciudad Bruselas reducido 40 desempleo jóvenes 2014 mano programa formación prácticas Unión Europea
Wed May 08 11:59:11 +0000 2019	RT @elpaissemanal: El socialista catalán @miqueliceta presidirá el Senado, en sustitución de Pío García-Escudero, del PP.  Iceta compartió…	el_pais	elpaissemanal socialista catalán miqueliceta presidirá Senado sustitución Pío García-Escudero PP Iceta compartió…
Wed May 08 11:52:50 +0000 2019	RT @elpais_gente: ÚLTIMA HORA | Enrique de Inglaterra y Meghan Markle posan por primera vez con su hijo https://t.co/xnmzqX9vng	el_pais	elpais_gente ÚLTIMA HORA Enrique Inglaterra Meghan Markle posan primera vez hijo
Wed May 08 11:50:21 +0000 2019	ÚLTIMA HORA | La Audiencia Nacional ordena la detención de dos empresarios por el ‘caso Villarejo’ https://t.co/AxdBWFLXML	el_pais	ÚLTIMA HORA Audiencia Nacional ordena detención dos empresarios ‘ caso Villarejo ’
Wed May 08 11:48:17 +0000 2019	ÚLTIMA HORA | Miquel Iceta será nombrado presidente del Senado https://t.co/vIeHMV2jOq	el_pais	ÚLTIMA HORA Miquel Iceta nombrado presidente Senado
Wed May 08 11:46:04 +0000 2019	RT @elpais_deportes: Nadal se mostró enigmático antes de su debut esta tarde en Madrid: “Ojalá hubiera llegado aquí con cuatro títulos”, ex…	el_pais	elpais_deportes Nadal mostró enigmático debut tarde Madrid “ Ojalá llegado aquí cuatro títulos ” ex…
Wed May 08 11:44:00 +0000 2019	Milagros acudió junto a su actual cuidadora y permaneció en la sala hasta que terminó el juicio por los malos tratos que sufrió en 2012. Milagros es una perra que, en una decisión insólita, ha sido citada por la juez para estar presente en la vista https://t.co/ur4u91zua1	el_pais	Milagros acudió junto actual cuidadora permaneció sala terminó juicio malos tratos sufrió 2012 Milagros perra decisión insólita sido citada juez presente vista
Wed May 08 11:41:42 +0000 2019	"RT @elpais_deportes: #UCL | @rbesac analiza la derrota del Barcelona

""No ha habido más consigna que la de contentar al 10 sin percibir que…"	el_pais	elpais_deportes UCL rbesac analiza derrota Barcelona '' consigna contentar 10 percibir que…
Wed May 08 11:36:00 +0000 2019	Hace unas semanas, el hallazgo de esta beluga con un arnés despertó las sospechas de que era un espía de Rusia. Ahora sale a la luz una grabación en la que el animal recoge el móvil de una mujer que se cayó al mar https://t.co/lDVvD0zGk3	el_pais	Hace unas semanas hallazgo beluga arnés despertó sospechas espía Rusia Ahora sale luz grabación animal recoge móvil mujer cayó mar
Wed May 08 11:35:29 +0000 2019	RT @elpais_cultura: Eduardo Bosch, la voz de Jon Nieve achaca el 'sicansíos' de Davos en Juego de Tronos a la precarización del sector del…	el_pais	elpais_cultura Eduardo Bosch voz Jon Nieve achaca 'sicansíos Davos Juego Tronos precarización sector del…
Wed May 08 11:29:43 +0000 2019	RT @elpaisinenglish: When “She can’t see us!” becomes “sicansíos.” @GameOfThrones translation gaffe reveals the ever-more precarious condit…	el_pais	elpaisinenglish “ ’ see us ” becomes “ sicansíos. ” GameOfThrones translation gaffe reveals ever-more precarious condit…
Wed May 08 11:28:00 +0000 2019	“No tengo nada por lo que vivir”, dicen quienes hacen jornadas de 10 horas en tareas rutinarias a un ritmo prefijado, con tiempos medidos para ir al baño y en aislamiento. Silicon Valley ya no es el sitio ‘cool’ en el que la gente quiere trabajar https://t.co/DUQqeyfwIV	el_pais	“ vivir ” dicen hacen jornadas 10 horas tareas rutinarias ritmo prefijado tiempos medidos ir baño aislamiento Silicon Valley sitio ‘ cool ’ gente quiere trabajar
